,Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases
0,Antigua and Barbuda,ATG,1990,2,12,3,4,0,4,0,7,1,170,22,10,3,75,34,14,3,7,9,17
1,Antigua and Barbuda,ATG,1991,2,13,3,4,0,4,0,5,1,173,23,10,3,77,36,15,4,7,9,17
2,Antigua and Barbuda,ATG,1992,2,13,3,4,0,4,0,6,1,175,23,10,3,79,37,15,4,7,9,17
3,Antigua and Barbuda,ATG,1993,2,13,3,4,0,4,0,7,1,186,25,11,3,84,40,16,4,8,10,18
4,Antigua and Barbuda,ATG,1994,2,13,3,4,0,4,0,9,1,186,25,11,3,85,41,16,4,8,10,18
5,Antigua and Barbuda,ATG,1995,2,13,3,3,0,4,0,9,1,187,25,12,3,86,41,16,3,8,10,18
6,Antigua and Barbuda,ATG,1996,2,13,3,3,0,4,0,10,1,175,24,12,3,80,40,16,3,7,9,17
7,Antigua and Barbuda,ATG,1997,2,13,3,3,0,4,0,8,1,171,24,12,2,80,39,15,3,7,9,17
8,Antigua and Barbuda,ATG,1998,2,13,3,3,0,4,0,8,1,169,24,12,2,81,39,16,3,7,9,17
9,Antigua and Barbuda,ATG,1999,2,14,3,3,0,4,0,10,1,167,25,11,2,83,39,17,3,7,9,17
10,Antigua and Barbuda,ATG,2000,1,14,3,3,0,4,0,13,1,163,25,11,2,86,40,18,3,7,9,17
11,Antigua and Barbuda,ATG,2001,1,14,3,3,0,4,0,13,0,161,25,11,2,86,40,18,3,7,9,17
12,Antigua and Barbuda,ATG,2002,1,14,3,3,0,4,0,12,0,160,25,10,2,88,41,19,3,7,9,17
13,Antigua and Barbuda,ATG,2003,1,14,4,3,0,4,0,10,0,160,25,10,2,89,41,19,2,7,9,17
14,Antigua and Barbuda,ATG,2004,1,14,4,3,0,4,0,10,0,159,25,9,2,91,42,20,2,7,9,17
15,Antigua and Barbuda,ATG,2005,1,14,4,2,0,4,0,9,0,160,25,9,2,92,43,21,2,7,9,17
16,Antigua and Barbuda,ATG,2006,1,14,4,2,0,4,0,9,0,162,25,8,2,96,44,22,2,8,9,18
17,Antigua and Barbuda,ATG,2007,1,15,5,3,0,4,0,8,0,180,28,8,2,112,48,25,3,9,10,20
18,Antigua and Barbuda,ATG,2008,1,15,5,3,0,4,0,8,0,179,28,7,2,114,49,26,3,9,11,20
19,Antigua and Barbuda,ATG,2009,1,15,4,2,0,4,0,7,0,170,26,7,1,108,46,26,2,9,10,19
20,Antigua and Barbuda,ATG,2010,1,15,4,2,0,4,0,8,0,171,27,6,1,110,47,27,2,9,10,19
21,Antigua and Barbuda,ATG,2011,1,15,4,2,0,4,0,8,0,174,27,6,1,113,47,28,2,9,10,20
22,Antigua and Barbuda,ATG,2012,1,15,5,2,0,4,0,8,0,175,27,6,1,116,48,29,2,9,10,20
23,Antigua and Barbuda,ATG,2013,1,15,5,2,0,4,0,7,0,178,27,5,1,117,48,31,2,9,11,20
24,Antigua and Barbuda,ATG,2014,1,15,5,2,0,4,0,9,0,184,28,5,2,121,50,32,2,9,11,21
25,Antigua and Barbuda,ATG,2015,1,16,5,3,0,4,0,9,0,187,29,5,2,124,51,34,3,10,12,22
26,Antigua and Barbuda,ATG,2016,1,16,5,3,0,4,0,8,0,191,29,5,2,128,52,35,3,10,12,22
27,Antigua and Barbuda,ATG,2017,1,16,5,3,0,4,0,8,0,194,29,5,2,131,54,35,3,10,12,23
28,Antigua and Barbuda,ATG,2018,1,16,5,3,0,4,0,8,0,197,29,5,2,134,55,36,3,10,13,23
