,Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases
0,Albania,ALB,1990,107,360,93,37,0,147,26,1,46,6701,2140,871,76,2616,100,241,35,1006,326,648
1,Albania,ALB,1991,112,363,96,42,0,160,24,1,45,6903,2196,863,76,2698,107,246,40,1009,330,662
2,Albania,ALB,1992,108,365,94,44,0,154,21,1,40,6699,2104,849,73,2642,106,233,42,967,318,644
3,Albania,ALB,1993,102,368,92,46,0,148,18,2,35,6480,1977,840,66,2586,104,222,44,922,307,621
4,Albania,ALB,1994,93,373,90,46,0,144,14,2,31,6191,1795,833,79,2493,102,209,44,855,287,577
5,Albania,ALB,1995,85,382,95,48,0,142,13,2,29,6500,1627,806,41,2614,109,217,46,851,289,560
6,Albania,ALB,1996,76,391,100,46,0,138,12,2,28,6822,1461,788,32,2756,116,224,44,850,288,540
7,Albania,ALB,1997,69,400,105,43,0,127,11,2,27,7063,1309,813,27,2871,123,232,41,832,286,522
8,Albania,ALB,1998,63,411,108,38,0,126,9,2,26,7269,1176,836,22,2963,129,238,36,804,279,499
9,Albania,ALB,1999,55,425,113,31,0,112,8,2,23,7490,1023,779,17,3030,136,241,30,775,272,472
10,Albania,ALB,2000,48,438,117,22,0,91,8,2,21,7641,875,711,15,3073,141,244,21,753,265,451
11,Albania,ALB,2001,42,451,118,16,0,80,6,2,19,7622,742,663,13,3044,140,237,15,706,255,429
12,Albania,ALB,2002,39,471,128,13,0,76,6,2,18,8230,671,617,11,3190,151,243,11,711,257,427
13,Albania,ALB,2003,36,489,141,10,0,70,6,2,18,9045,624,569,10,3388,163,256,9,734,266,438
14,Albania,ALB,2004,33,501,147,8,0,64,5,2,17,9335,560,516,10,3463,163,256,7,716,268,438
15,Albania,ALB,2005,30,514,149,7,0,53,6,2,15,9414,501,470,9,3468,156,252,6,676,267,433
16,Albania,ALB,2006,28,527,146,6,0,45,5,2,13,9172,441,430,8,3395,142,240,5,622,261,420
17,Albania,ALB,2007,24,543,146,6,0,44,5,2,12,9024,393,392,8,3357,130,231,4,586,260,413
18,Albania,ALB,2008,21,567,154,5,0,42,5,2,11,9393,374,365,7,3471,125,236,4,583,269,423
19,Albania,ALB,2009,17,590,159,5,0,40,4,2,10,9513,357,335,7,3528,119,238,4,578,274,428
20,Albania,ALB,2010,16,616,166,5,0,41,4,2,10,9748,351,308,7,3617,120,247,4,587,280,436
21,Albania,ALB,2011,13,647,176,5,0,38,4,2,11,10142,359,293,7,3759,127,257,4,616,288,450
22,Albania,ALB,2012,13,678,185,5,0,40,4,2,11,10446,369,269,7,3865,133,265,4,639,293,459
23,Albania,ALB,2013,13,710,195,5,0,40,4,2,11,10800,383,243,7,3982,139,275,4,665,299,468
24,Albania,ALB,2014,13,743,207,5,0,42,3,2,11,11275,401,218,7,4143,147,286,4,702,306,482
25,Albania,ALB,2015,14,776,219,5,0,41,3,2,11,11754,418,199,7,4313,155,299,4,737,317,498
26,Albania,ALB,2016,14,809,227,5,0,41,3,2,11,12053,430,186,7,4419,161,307,4,759,321,506
27,Albania,ALB,2017,13,844,235,5,0,38,3,2,11,12345,440,176,7,4517,166,314,4,779,326,515
28,Albania,ALB,2018,13,880,242,5,0,37,3,2,11,12629,448,168,7,4611,170,321,3,797,330,521
29,Albania,ALB,2019,13,917,248,5,0,36,3,2,11,12904,457,161,7,4705,175,329,3,815,333,527
30,Andorra,AND,1990,0,6,2,0,0,0,0,1,0,65,6,1,0,101,4,4,0,16,6,10
31,Andorra,AND,1991,0,6,2,0,0,0,0,2,0,69,6,1,0,107,4,4,0,17,7,11
32,Andorra,AND,1992,0,7,2,0,0,0,0,2,0,74,7,1,0,114,4,5,0,18,7,12
33,Andorra,AND,1993,0,8,2,0,0,0,0,2,0,79,7,1,0,121,4,5,0,19,7,13
34,Andorra,AND,1994,0,9,3,0,0,0,0,2,0,83,8,1,0,125,5,6,0,20,8,13
35,Andorra,AND,1995,0,9,3,0,0,0,0,3,0,85,8,1,0,128,5,6,0,20,8,14
