,Country/Territory,Code,Year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Maternal Disorders,HIV/AIDS,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Diarrheal Diseases,Neoplasms,Diabetes Mellitus,Chronic Kidney Disease,Protein-Energy Malnutrition,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases
0,American Samoa,ASM,1990,1,3,1,2,0,4,1,0,1,66,10,12,3,31,16,8,2,17,5,9
1,American Samoa,ASM,1991,1,3,2,2,0,4,1,0,1,69,10,12,3,32,17,9,2,17,5,9
2,American Samoa,ASM,1992,1,3,2,2,0,4,1,0,1,71,10,12,3,33,19,9,2,18,5,9
3,American Samoa,ASM,1993,1,3,2,2,0,4,1,0,1,73,10,12,3,34,20,10,2,18,5,10
4,American Samoa,ASM,1994,1,3,2,2,0,4,1,0,1,75,10,12,3,35,21,10,2,18,5,10
5,American Samoa,ASM,1995,1,3,2,2,0,4,1,0,1,77,11,12,3,37,23,11,2,19,5,10
6,American Samoa,ASM,1996,1,3,2,2,0,4,1,0,1,80,11,11,3,38,24,12,2,19,6,10
7,American Samoa,ASM,1997,1,3,2,2,0,4,1,0,1,82,11,11,3,39,25,12,2,20,6,11
8,American Samoa,ASM,1998,1,4,2,2,0,4,1,0,1,84,11,11,3,40,26,13,2,20,6,11
9,American Samoa,ASM,1999,1,4,2,2,0,4,1,0,1,87,11,11,3,41,26,14,2,20,6,11
10,American Samoa,ASM,2000,1,4,2,2,0,4,1,0,1,88,11,10,2,43,28,14,2,20,6,11
11,American Samoa,ASM,2001,1,4,2,2,0,4,1,0,1,90,11,10,3,44,30,15,2,21,6,11
12,American Samoa,ASM,2002,1,4,2,2,0,4,1,0,1,91,11,10,3,45,32,16,2,21,6,11
13,American Samoa,ASM,2003,1,4,2,2,0,4,1,1,1,91,11,9,3,47,34,16,2,21,6,11
14,American Samoa,ASM,2004,1,4,2,2,0,4,1,1,1,92,11,9,3,48,36,17,2,21,6,11
15,American Samoa,ASM,2005,1,5,2,2,0,4,1,1,1,93,11,8,3,50,37,18,2,21,6,11
16,American Samoa,ASM,2006,1,5,2,2,0,4,1,1,1,95,11,7,3,51,37,18,2,21,6,11
17,American Samoa,ASM,2007,1,5,2,2,0,4,1,1,1,97,10,7,3,52,37,19,2,21,6,11
18,American Samoa,ASM,2008,1,5,2,2,0,4,1,1,1,100,11,6,3,54,38,19,2,21,6,12
19,American Samoa,ASM,2009,1,6,2,2,0,4,1,1,1,102,11,6,3,55,38,20,2,21,6,12
20,American Samoa,ASM,2010,1,6,3,2,0,4,1,1,1,104,11,6,3,56,38,20,2,21,6,12
21,American Samoa,ASM,2011,1,6,3,2,0,4,1,1,1,106,11,5,3,58,39,21,2,21,6,12
22,American Samoa,ASM,2012,1,6,3,2,0,4,1,1,1,109,11,5,3,59,39,21,2,21,6,13
23,American Samoa,ASM,2013,1,6,3,2,0,4,1,1,1,111,11,5,3,61,40,22,2,21,7,13
24,American Samoa,ASM,2014,1,6,3,2,0,4,1,1,1,114,11,5,3,62,40,23,2,21,7,13
25,American Samoa,ASM,2015,1,7,3,2,0,4,1,1,1,116,11,5,3,63,40,24,2,22,7,13
26,American Samoa,ASM,2016,1,7,3,2,0,4,1,1,1,119,12,5,3,65,41,25,2,22,7,13
27,American Samoa,ASM,2017,1,7,3,2,0,4,1,1,1,121,12,4,3,66,42,25,2,22,7,13
28,American Samoa,ASM,2018,1,7,3,2,0,4,1,0,1,123,12,4,3,67,43,25,2,23,7,13
29,American Samoa,ASM,2019,1,7,3,2,0,4,1,0,1,125,12,4,3,68,44,26,2,23,7,14
30,Australia,AUS,1990,99,3669,880,77,0,295,19,379,99,51230,1823,872,38,31401,2198,1712,47,6966,1394,3944
